鸽子蛋,2.5,2.55,2.6,蛋类,个,2021/5/30
,,,,,,
北豆腐（屉）,1.8,1.8,1.8,豆制品,斤,2021/5/30
,,,,,,
南豆腐（屉）,2,2,2,豆制品,斤,2021/5/30
,,,,,,
白玉北豆腐,4,4,4,豆制品,盒,2021/5/30
,,,,,,
香香北豆腐,3,3,3,豆制品,盒,2021/5/30
,,,,,,
白玉南豆腐,5.5,5.5,5.5,豆制品,盒,2021/5/30
,,,,,,
卞萝卜,0.5,0.6,0.7,冀,斤,2021/5/30
,,,,,,
青萝卜,0.8,0.9,1,冀鲁新,斤,2021/5/30
,,,,,,
胡萝卜,0.8,0.85,0.9,冀鲁新,斤,2021/5/30
,,,,,,
胡萝卜（洗）,0.8,0.9,1,冀闽箱,斤,2021/5/30
,,,,,,
小水萝卜,0.9,1,1.1,普通,斤,2021/5/30
,,,,,,
土豆,0.7,0.8,0.9,冀,斤,2021/5/30
,,,,,,
新土豆（黄心）,0.7,1,1.3,鲁,斤,2021/5/30
,,,,,,
黄葱头,1,1.13,1.25,蒙甘,斤,2021/5/30
,,,,,,
红葱头,1.2,1.35,1.5,老新,斤,2021/5/30
,,,,,,
山药,1.8,2.25,2.7,脆麻新,斤,2021/5/30
,,,,,,
铁棍山药,5,5.5,6,普通,斤,2021/5/30
,,,,,,
莲藕,2,3.1,4.2,津,斤,2021/5/30
,,,,,,
红薯,1,1.4,1.8,冀新,斤,2021/5/30
,,,,,,
红薯,2,2.1,2.2,西瓜红粤新,斤,2021/5/30
,,,,,,
茭白,2.5,3,3.5,京浙,斤,2021/5/30
,,,,,,
凉薯,2,2.15,2.3,普通,斤,2021/5/30
,,,,,,
荸荠,3,3.4,3.8,皖,斤,2021/5/30
,,,,,,
芋头,2,2.25,2.5,鲁,斤,2021/5/30
,,,,,,
苇叶,3.4,3.45,3.5,普通,斤,2021/5/30
,,,,,,
姜,3,4,5,姜头整,斤,2021/5/30
,,,,,,
荷兰豆,5,5.5,6,冀云,斤,2021/5/30
,,,,,,
玉米,1.4,1.5,1.6,普通,斤,2021/5/30
,,,,,,
花生,4.5,4.85,5.2,广东海南,斤,2021/5/30
,,,,,,
苦瓜,2,2.15,2.3,鲁,斤,2021/5/30
,,,,,,
丝瓜,1.6,1.9,2.2,豫鲁,斤,2021/5/30
,,,,,,
丝瓜,3,3.5,4,短,斤,2021/5/30
,,,,,,
瓠子,1.8,2.05,2.3,普通,斤,2021/5/30
,,,,,,
西葫芦,0.8,1,1.2,滇鲁,斤,2021/5/30
,,,,,,
佛手瓜,2.2,2.35,2.5,普通,斤,2021/5/30
,,,,,,
金丝南瓜,0.8,0.9,1,琼,斤,2021/5/30
,,,,,,
南北瓜,0.9,0.95,1,桂,斤,2021/5/30
,,,,,,
尖椒,1.5,1.75,2,冀晋鲁新,斤,2021/5/30
,,,,,,
螺丝椒,2,2.5,3,普通,斤,2021/5/30
,,,,,,
柿子椒,1.5,1.75,2,鲁新,斤,2021/5/30
,,,,,,
线椒,2.5,2.85,3.2,鲁琼新,斤,2021/5/30
,,,,,,
杭椒,2.5,2.75,3,普通,斤,2021/5/30
,,,,,,
小米椒,4,4.5,5,滇,斤,2021/5/30
,,,,,,
彩椒,4,4.5,5,红黄,斤,2021/5/30
,,,,,,
白萝卜,0.3,0.35,0.4,冀,斤,2021/5/30
,,,,,,
心里美,2,2.3,2.6,冀新,斤,2021/5/30
,,,,,,
豆腐丝,5,5,5,豆制品,斤,2021/5/30
,,,,,,
精品豆腐丝,6,6,6,豆制品,袋,2021/5/30
,,,,,,
豆腐皮,5.5,5.5,5.5,豆制品,斤,2021/5/30
,,,,,,
豆腐干,4.5,4.5,4.5,豆制品,斤,2021/5/30
,,,,,,
精品豆腐干,5,5,5,豆制品,袋,2021/5/30
,,,,,,
豆腐泡,5.5,5.5,5.5,豆制品,斤,2021/5/30
,,,,,,
精品豆腐泡,5,5,5,豆制品,袋,2021/5/30
,,,,,,
白玉内酯豆腐,2.5,2.5,2.5,豆制品,盒,2021/5/30
,,,,,,
香香内脂豆腐,1.5,1.5,1.5,豆制品,盒,2021/5/30
,,,,,,
白条猪（瘦）,11.5,11.5,11.5,猪肉类,斤,2021/5/30
,,,,,,
白条猪（肥）,9.15,9.15,9.15,猪肉类,斤,2021/5/30
,,,,,,
前臀尖（瘦）,10,10.5,11,猪肉类,斤,2021/5/30
,,,,,,
前臀尖（肥）,9,9.5,10,猪肉类,斤,2021/5/30
,,,,,,
后臀尖（瘦）,10,10.5,11,猪肉类,斤,2021/5/30
,,,,,,
后臀尖（肥）,9,9.5,10,猪肉类,斤,2021/5/30
,,,,,,
五花肉（瘦）,13,13.5,14,猪肉类,斤,2021/5/30
,,,,,,
五花肉（肥）,12,12.5,13,猪肉类,斤,2021/5/30
,,,,,,
纯通脊,12,12.5,13,猪肉类,斤,2021/5/30
,,,,,,
